restaurant_uuid,restaurant_code,intrinsic_rating
369,RepRiyaa,4.0
370,RfK6Y6jd,2.923076923076923
371,S2Cb-C69,3.0
372,S2SM25Ol,2.6666666666666665
373,SCWPW3Ir,3.0
374,StvEiewz,3.0
375,TGhtXNRy,2.2
376,TTfeA9jB,3.0
377,TTgR-tdI,3.0
378,Tb4_1PkC,2.6666666666666665
379,UAumcAy0,3.0
380,UqRxa2is,2.0
381,UwBa1WZb,3.0
382,WY6atS9l,2.0
383,Wx8LeEIr,2.0
384,XDouglm5,2.0
385,XLo4LdsR,3.0
386,YK5p4sdY,3.5
387,YzjZi-S9,2.5714285714285716
388,ZKhFigjC,2.0
389,ZcQSL47l,2.6
390,a-a-muslim-restaurant-sembawang,2.0
391,a-bake,3.5
392,a-hot-hideout,3.0
393,a-juicery,3.1
394,a-lan-japanese-cuisine-and-juice-bar,3.0
395,a-noodle-story,2.9757281553398056
396,a-one-claypot-house-at-compass-one,3.0
397,a-one-claypot-house-changi-airport-terminal-3,3.0
398,a-one-restaurant,2.5
399,a-plus-food-sanctuary,3.5
400,a-poke-theory-1,3.15
401,a-poke-theory-2,3.125
402,a-poke-theory-3,3.0
403,a-poke-theory-duo-galleria,3.5
404,a-poke-theory-kent-ridge,3.0
405,a-poke-theory-marina-one,3.2
406,a-rashid-khan-soup-kambing,2.5
407,a-spoonful-of-sugar,3.0
408,a-wen-mian-shi-lucky-plaza,2.0
409,a-wonder-bowl,3.0
410,a1-azee-western-food,2.5
411,a1-kway-chap,2.3333333333333335
412,a3yIePcF,2.0
413,a9-noodle-dumpling,3.0
414,aa-banana-leaf-muslim-restaurant,2.8333333333333335
415,aachengtng,3.0
416,ab-mohamed-restaurant,2.5
417,abang-recipes,3.0
418,abbies-coffeehouse,3.2
419,abc-brickworks-market-food-centre,2.676348547717842
420,abc-deji-fish-head-bee-hoon,3.0
421,abc-hawker-ah-hua-fish-ball-noodle,3.0
422,abc-herbal-claypot-bak-kut-teh,2.0
423,abc-king,3.6666666666666665
424,abc-nasi-kandar,3.0
425,abdhus-salam-rojak,3.3333333333333335
426,abm-restaurant-136-syed-alwi-road,4.0
427,absolute-acai-novena,3.0
428,absolute-thaimarina-bay-link-mall,2.2222222222222223
429,abu-mubarak-mandi-rice,3.0
430,aburi-en,2.5833333333333335
431,aburi-en-1,3.16
432,aburi-en-2,2.5714285714285716
433,aburi-en-5,3.5
434,aburi-en-nex,3.0
435,aburi-en-suntec-city,2.8333333333333335
436,aburi-en-velocity,3.0
437,acai-beach-club,3.1267605633802815
438,aceituna-mexicana,2.0
439,acid-bar,2.764705882352941
440,ackafe,3.3333333333333335
441,acoustic-cafe,3.0
442,acqua-e-farina,3.05
443,acx-food-court,2.5
444,adam-road-food-centre,2.6153846153846154
445,adams-corner-seafood-restaurant-pte-ltd,2.823529411764706
